"","V1"
"3599",0
"4027",0
"1238",1
"4210",1
"3190",0
"3005",1
"232",0
"1730",1
"2091",0
"2451",1
"3054",0
"4496",0
"2703",0
"1873",1
"2369",0
"256",1
"1140",1
"4446",1
"864",0
"3631",0
"668",1
"3505",1
"2385",1
"2888",0
"749",0
"2759",1
"1359",1
"3157",1
"1738",1
"4221",0
"4212",0
"3163",0
"1120",1
"965",1
"2580",1
"1164",1
"2309",1
"3413",0
"731",1
"1757",1
"2049",1
"3770",0
"4019",1
"3828",0
"2926",0
"4122",1
"2240",1
"2500",0
"1458",0
"1506",1
"87",0
"2179",1
"4451",0
"28",0
"312",1
"711",1
"3334",1
"3181",0
"4204",1
"2018",1
"322",1
"2805",0
"3278",1
"593",1
"1713",1
"972",1
"251",1
"1709",1
"281",1
"975",0
"236",0
"2891",1
"1284",1
"435",0
"310",1
"3793",0
"3249",1
"3517",1
"4229",0
"446",1
"427",0
"3437",1
"3375",1
"41",1
"3350",0
"3135",1
"2708",0
"2066",0
"4572",0
"36",0
"1943",0
"2113",0
"1672",1
"4532",0
"3060",0
"238",1
"1521",1
"3441",0
"3582",0
"1019",1
"1517",1
"4465",0
"3655",0
"4394",0
"630",1
"3012",1
"444",0
"145",0
"4273",0
"150",1
"1446",1
"3910",0
"2637",0
"1223",1
"3150",0
"3560",0
"1341",1
"4503",0
"2975",0
"4426",1
"2746",1
"4168",1
"1768",0
"509",1
"2241",0
"959",1
"2071",0
"1576",1
"4185",1
"1652",1
"4314",0
"2651",1
"581",1
"4112",0
"2189",0
"693",1
"2642",1
"4187",1
"2839",1
"1778",1
"1372",1
"3544",1
"610",1
"818",1
"3802",0
"1306",0
"1540",1
"3321",0
"819",1
"76",1
"1722",1
"2045",1
"1785",1
"1451",1
"3665",0
"1925",1
"2257",0
"4074",0
"3273",0
"883",1
"1305",1
"4102",0
"2469",0
"3211",1
"1573",1
"3245",1
"2268",0
"3854",1
"782",1
"1190",1
"401",0
"887",1
"4115",0
"1248",1
"3056",0
"3307",0
"4277",1
"1008",1
"1138",1
"425",1
"496",1
"4166",1
"4143",0
"576",1
"4239",0
"2420",1
"1660",1
"4519",0
"2964",1
"347",0
"1423",0
"2854",0
"1329",1
"3485",1
"902",0
"2086",0
"1156",1
"804",1
"3979",0
"1347",1
"2002",0
"118",1
"2289",1
"2693",0
"2492",1
"1346",1
"3723",1
"2616",1
"1265",1
"1621",1
"670",1
"4383",0
"3976",0
"2351",0
"1374",1
"4154",1
"979",1
"2553",1
"451",1
"2029",0
"414",1
"4403",1
"4432",1
"2429",0
"3044",0
"689",0
"3602",0
"2945",0
"3160",1
"611",1
"1488",1
"2796",1
"2175",0
"4563",0
"998",1
"242",1
"982",1
"3691",0
"3366",0
"3098",1
"642",0
"517",1
"4037",0
"1806",0
"1921",0
"685",1
"4198",1
"4351",1
"952",1
"2858",1
"1170",1
"3349",0
"388",1
"3395",0
"1765",1
"3121",1
"2734",1
"1835",0
"2587",0
"2",1
"896",1
"2906",0
"4353",0
"3354",0
"1268",1
"2833",0
"3840",0
"477",0
"526",1
"2791",0
"4129",0
"3432",0
"3994",0
"290",1
"1890",0
"2883",0
"358",0
"4078",0
"1039",1
"204",1
"2816",0
"3228",0
"4230",0
"4583",0
"1177",1
"328",0
"4500",0
"730",1
"2196",0
"2064",1
"4423",1
"1397",1
"1902",1
"338",0
"4306",1
"1618",1
"4469",0
"702",1
"1858",1
"3146",0
"4368",0
"3328",0
"1229",1
"4153",0
"1274",1
"153",0
"2116",1
"2768",1
"3681",0
"104",1
"4029",1
"1234",0
"3824",1
"2799",0
"1819",0
"3322",0
"161",1
"4378",0
"4410",0
"3371",0
"2176",1
"1116",1
"3253",1
"373",1
"3378",0
"1124",1
"4209",0
"3911",1
"331",1
"3464",1
"3252",1
"1561",1
"1328",1
"831",1
"2306",0
"3595",0
"2144",1
"2375",1
"4180",1
"2143",1
"2062",1
"66",1
"4584",0
"3755",0
"3108",1
"812",1
"4417",1
"2639",1
"1595",1
"3277",1
"2207",0
"3569",0
"4441",0
"3652",0
"2367",0
"1706",0
"4071",0
"2855",0
"1664",1
"74",0
"2280",0
"1972",0
"3534",0
"3268",0
"3433",0
"1479",0
"3511",1
"608",1
"1132",1
"2677",1
"3923",0
"2338",0
"4292",0
"244",0
"3885",1
"482",0
"355",1
"3529",0
"2037",1
"1352",1
"3581",0
"128",1
"4389",0
"4263",0
"904",0
"4079",0
"696",1
"3203",1
"585",1
"3286",1
"1322",0
"1494",1
"2514",0
"386",1
"88",1
"3961",0
"2329",1
"3117",1
"3555",1
"4087",0
"3901",0
"176",1
"3597",0
"3445",1
"4472",0
"1499",1
"168",1
"1449",1
"1089",0
"3380",0
"1440",1
"4411",1
"3015",1
"4120",0
"1818",1
"2896",0
"413",1
"873",1
"3783",0
"2982",0
"3246",0
"1656",1
"2353",1
"3164",0
"3518",1
"1525",1
"4107",1
"2476",1
"2949",1
"4090",0
"1188",1
"4160",1
"4265",0
"3623",0
"1879",0
"2239",0
"2908",1
"3384",0
"3587",0
"223",1
"1983",1
"4420",0
"3333",0
"3178",0
"463",0
"2807",0
"927",1
"296",1
"3682",0
"619",1
"2545",0
"683",1
"79",1
"4343",1
"339",1
"1112",1
"4488",1
"4049",0
"3167",1
"793",1
"1803",0
"1758",1
"2878",1
"2802",0
"3258",0
"3474",0
"3732",0
"2157",0
"4232",0
"669",1
"1876",1
"993",1
"156",0
"2483",1
"2110",0
"548",0
"1109",1
"2278",1
"645",0
"376",1
"1673",1
"1389",0
"3297",0
"1015",1
"91",1
"3362",0
"1304",1
"2462",1
"2129",0
"1466",1
"724",1
"1670",1
"2455",1
"2027",1
"2566",0
"2836",0
"1893",1
"3992",0
"27",1
"15",1
"3864",1
"419",1
"1625",1
"2786",0
"2881",0
"3382",1
"2357",0
"2932",1
"4435",1
"2374",0
"3073",0
"89",1
"1614",1
"3386",0
"2505",0
"3576",0
"666",1
"1221",1
"3109",0
"3822",1
"4538",0
"5",1
"3831",0
"573",1
"191",0
"2305",0
"1240",1
"2036",0
"3067",0
"266",1
"2678",0
"4281",1
"1070",1
"961",1
"614",1
"276",1
"2145",1
"1884",0
"1901",0
"3415",0
"142",1
"783",1
"1974",1
"908",1
"2210",0
"1851",0
"2185",0
"553",0
"559",1
"1581",1
"2618",1
"2504",1
"4464",1
"3115",0
"2588",0
"3092",0
"491",0
"960",0
"1269",1
"1558",1
"2430",0
"3091",1
"989",1
"3131",1
"60",1
"2499",0
"3099",0
"1761",1
"777",1
"72",1
"1080",1
"3490",0
"3559",1
"2068",1
"836",1
"1864",0
"3050",0
"1552",1
"395",1
"1068",1
"1375",1
"986",1
"1790",1
"4461",1
"461",1
"179",1
"4149",0
"3677",0
"1854",0
"1813",1
"2841",0
"2532",1
"188",1
"2635",1
"1377",0
"4299",1
"2937",0
"528",0
"1117",1
"478",1
"2232",1
"2125",1
"2605",0
"4099",0
"4181",1
"3745",0
"2808",0
"287",1
"1704",1
"203",1
"1282",1
"4471",0
"16",1
"2911",0
"1745",1
"2717",1
"2511",0
"2155",1
"2650",0
"2474",0
"3975",1
"366",1
"3620",0
"3772",1
"2304",1
"4165",1
"3810",0
"987",1
"3374",0
"35",1
"4121",0
"488",1
"1224",1
"2724",0
"3719",0
"2681",0
"4560",0
"1634",1
"3554",0
"450",1
"282",1
"3327",1
"1588",1
"159",1
"2421",0
"1752",0
"2310",0
"1012",0
"588",1
"4303",1
"1896",1
"2046",1
"525",1
"634",0
"2842",0
"1967",0
"3209",1
"2510",0
"49",1
"2582",0
"3320",0
"2352",1
"400",1
"3427",1
"2512",0
"3836",1
"2771",0
"3503",0
"1564",0
"1106",1
"4444",1
"828",1
"2100",0
"3777",1
"2484",1
"3890",1
"3009",1
"2814",0
"75",1
"1411",1
"189",1
"2954",1
"4531",0
"2008",1
"3153",1
"2159",1
"2471",0
"4109",0
"2819",0
"3338",0
"3031",0
"264",1
"3884",0
"4041",0
"3197",1
"4416",0
"1158",1
"3537",0
"4332",0
"1958",0
"1415",0
"3780",1
"2976",1
"155",0
"1339",1
"3151",1
"2567",1
"2517",1
"1279",1
"2038",0
"505",1
"4108",0
"3256",1
"4591",0
"2828",0
"2188",0
"3512",1
"582",1
"1928",0
"3200",0
"3186",1
"4333",0
"3573",0
"1795",1
"1424",1
"1528",1
"340",0
"592",1
"1482",1
"1249",1
"4283",1
"4390",0
"3917",0
"569",1
"3491",0
"4543",0
"1358",1
"3861",0
"3988",0
"224",1
"3886",0
"3806",0
"3838",1
"1637",1
"2269",0
"510",0
"3303",1
"4257",0
"1993",0
"4325",0
"3760",0
"4355",0
"2840",0
"3977",0
"4581",0
"978",1
"1026",1
"2333",1
"4302",0
"26",1
"3998",0
"1518",1
"1658",1
"2577",0
"3329",0
"3639",0
"3264",1
"2739",1
"499",1
"554",0
"692",1
"1565",0
"315",1
"808",0
"2065",0
"4507",0
"2040",1
"2992",1
"2315",1
"3704",0
"2557",0
"392",0
"4199",1
"2138",0
"577",1
"3071",1
"3807",0
"4525",0
"2782",0
"4555",0
"4313",1
"1583",1
"4197",0
"3751",1
"665",1
"1820",1
"69",1
"2775",1
"2007",1
"2300",0
"1679",1
"1001",1
"3927",1
"4245",0
"2096",1
"1413",0
"2902",1
"4367",0
"2079",0
"1628",1
"3850",0
"1984",1
"826",1
"1940",0
"1598",1
"4517",1
"2218",0
"1955",0
"533",1
"1995",0
"4287",0
"4035",1
"2968",0
"2562",0
"1627",1
"1855",0
"863",1
"270",1
"1392",1
"4459",0
"3083",1
"3526",0
"2518",1
"2935",0
"3166",0
"1914",0
"1970",1
"4434",1
"2337",0
"3557",0
"1022",1
"2536",0
"3761",0
"613",1
"1085",1
"1309",1
"275",1
"4571",0
"1948",0
"481",1
"3442",0
"1985",0
"2784",0
"2997",1
"3817",1
"2825",0
"2258",1
"3567",0
"957",1
"106",1
"1480",1
"1252",1
"3942",1
"606",1
"1125",1
"1455",1
"2671",1
"956",1
"407",0
"4226",0
"2835",1
"1687",0
"2831",1
"278",1
"405",1
"454",0
"2591",1
"2655",1
"3479",0
"4249",0
"3736",1
"701",1
"4322",1
"2548",0
"760",1
"2604",0
"3693",0
"3641",0
"2093",0
"4034",1
"4236",0
"2307",1
"253",1
"2884",0
"1674",1
"1365",1
"1044",1
"852",1
"1471",1
"4020",0
"922",1
"1980",1
"704",1
"4162",1
"2501",0
"1091",1
"4008",1
"202",1
"3236",0
"1975",0
"410",0
"4462",0
"3913",1
"2845",1
"2439",0
"1969",1
"4362",0
"2608",1
"3993",0
"3797",0
"1842",0
"899",1
"2879",0
"1403",0
"252",1
"3299",0
"751",1
"1402",1
"2162",0
"2171",1
"1134",1
"480",0
