"","x"
"563","0"
"564","1"
"565","0"
"566","0"
"567","1"
"568","1"
"569","0"
"570","0"
"571","0"
"572","0"
"573","0"
"574","0"
"575","0"
"576","0"
"577","0"
"578","1"
"579","0"
"580","0"
"581","0"
"582","0"
"583","0"
"584","0"
"585","0"
"586","1"
"587","1"
"588","0"
"589","0"
"590","0"
"591","0"
"592","1"
"593","0"
"594","1"
"595","1"
"596","0"
"597","0"
"598","0"
"599","0"
"600","1"
"601","1"
"602","0"
"603","1"
"604","0"
"605","1"
"606","0"
"607","1"
"608","0"
"609","1"
"610","1"
"611","0"
"612","1"
"613","1"
"614","0"
"615","0"
"616","0"
"617","0"
"618","0"
"619","0"
"620","1"
"621","0"
"622","0"
"623","0"
"624","1"
"625","1"
"626","0"
"627","1"
"628","0"
"629","1"
"630","0"
"631","0"
"632","0"
"633","0"
"634","0"
"635","1"
"636","1"
"637","0"
"638","0"
"639","0"
"640","1"
"641","0"
"642","0"
"643","0"
"644","1"
"645","0"
"646","0"
"647","0"
"648","0"
"649","1"
"650","0"
"651","0"
"652","0"
"653","0"
"654","1"
"655","0"
"656","0"
"657","0"
"658","1"
"659","0"
"660","0"
"661","0"
"662","0"
"663","1"
"664","0"
"665","1"
"666","1"
"667","0"
"668","1"
"669","0"
"670","0"
"671","1"
"672","0"
"673","1"
"674","1"
"675","0"
"676","0"
"677","0"
"678","1"
"679","1"
"680","1"
"681","0"
"682","0"
"683","0"
"684","0"
"685","0"
"686","0"
"687","0"
"688","1"
"689","0"
"690","1"
"691","1"
"692","0"
"693","0"
"694","0"
"695","1"
"696","0"
"697","1"
"698","0"
"699","1"
"700","1"
"701","0"
"702","1"
"703","1"
"704","0"
"705","1"
"706","1"
"707","0"
"708","1"
"709","1"
"710","1"
"711","0"
"712","0"
"713","0"
"714","0"
"715","0"
"716","0"
"717","0"
"718","1"
"719","0"
"720","1"
"721","1"
"722","0"
"723","0"
"724","0"
"725","0"
"726","0"
"727","0"
"728","0"
"729","0"
"730","1"
"731","1"
"732","0"
"733","0"
"734","0"
"735","1"
"736","1"
"737","1"
"738","0"
"739","0"
"740","1"
"741","0"
"742","1"
"743","1"
"744","1"
"745","1"
"746","0"
"747","0"
"748","1"
"749","0"
"750","0"
"751","1"
"752","1"
"753","1"
"754","1"
"755","0"
"756","0"
"757","0"
"758","0"
"759","1"
"760","1"
"761","0"
"762","1"
"763","0"
"764","0"
"765","0"
"766","1"
"767","1"
"768","1"
"769","0"
"770","0"
"771","1"
"772","0"
"773","0"
"774","0"
"775","1"
"776","1"
"777","1"
"778","1"
"779","0"
"780","0"
"781","1"
"782","0"
"783","1"
"784","0"
"785","0"
"786","1"
"787","1"
"788","1"
"789","1"
"790","0"
"791","0"
"792","0"
"793","1"
"794","0"
"795","0"
"796","1"
"797","1"
"798","1"
"799","1"
"800","1"
"801","1"
"802","0"
"803","1"
"804","1"
"805","0"
"806","0"
"807","0"
"808","1"
"809","0"
"810","1"
"811","1"
"812","0"
"813","1"
"814","0"
"815","0"
"816","0"
"817","1"
"818","1"
"819","0"
"820","0"
"821","1"
"822","0"
"823","0"
"824","0"
"825","0"
"826","1"
"827","1"
"828","1"
"829","0"
"830","0"
"831","1"
"832","0"
"833","1"
"834","0"
"835","1"
"836","0"
"837","0"
"838","0"
"839","0"
"840","1"
"841","0"
"842","0"
"843","0"
"844","0"
"845","0"
"846","1"
"847","0"
"848","0"
"849","0"
"850","1"
"851","0"
"852","0"
"853","0"
"854","0"
"855","0"
"856","1"
"857","0"
"858","1"
"859","1"
"860","0"
"861","1"
"862","1"
"863","0"
"864","0"
"865","0"
"866","1"
"867","1"
"868","0"
"869","0"
"870","0"
"871","1"
"872","0"
"873","0"
"874","0"
"875","0"
"876","0"
"877","1"
"878","0"
"879","0"
"880","0"
"881","1"
"882","0"
"883","0"
"884","1"
"885","0"
"886","0"
"887","1"
"888","1"
"889","0"
"890","1"
"891","0"
"892","0"
"893","0"
"894","0"
"895","0"
"896","0"
"897","1"
"898","1"
"899","1"
"900","0"
"901","0"
"902","0"
"903","0"
"904","0"
"905","0"
"906","0"
"907","0"
"908","0"
"909","0"
"910","1"
"911","0"
"912","0"
"913","1"
"914","0"
"915","1"
"916","0"
"917","0"
"918","0"
"919","0"
"920","0"
"921","0"
"922","0"
"923","1"
"924","0"
"925","0"
"926","0"
"927","1"
"928","0"
"929","1"
"930","0"
"931","0"
"932","0"
"933","0"
"934","0"
"935","0"
"936","1"
"937","0"
"938","0"
"939","0"
"940","0"
"941","0"
"942","1"
"943","1"
"944","1"
"945","1"
"946","1"
"947","1"
"948","1"
"949","0"
"950","0"
"951","0"
"952","1"
"953","0"
"954","0"
"955","1"
"956","0"
"957","0"
"958","1"
"959","0"
"960","0"
"961","0"
"962","0"
"963","0"
"964","1"
"965","0"
"966","0"
"967","0"
"968","0"
"969","0"
"970","0"
"971","0"
"972","0"
"973","0"
"974","1"
"975","1"
"976","0"
"977","0"
"978","1"
"979","0"
"980","1"
"981","1"
"982","0"
"983","0"
"984","0"
"985","0"
"986","0"
"987","1"
"988","1"
"989","1"
"990","0"
"991","1"
"992","1"
"993","0"
"994","0"
"995","0"
"996","0"
"997","0"
"998","0"
"999","0"
"1000","0"
"1001","1"
"1002","1"
"1003","1"
"1004","0"
"1005","0"
"1006","0"
"1007","0"
"1008","0"
"1009","0"
"1010","1"
"1011","1"
"1012","0"
"1013","1"
"1014","0"
"1015","1"
"1016","0"
"1017","0"
"1018","0"
"1019","1"
"1020","1"
"1021","0"
"1022","1"
"1023","0"
"1024","1"
"1025","0"
"1026","0"
"1027","0"
"1028","1"
"1029","0"
"1030","0"
"1031","1"
"1032","0"
"1033","1"
"1034","0"
"1035","0"
"1036","0"
"1037","1"
"1038","0"
"1039","0"
"1040","0"
"1041","0"
"1042","0"
"1043","1"
"1044","0"
"1045","1"
"1046","1"
"1047","1"
"1048","0"
"1049","0"
"1050","0"
"1051","0"
"1052","0"
"1053","1"
"1054","0"
"1055","0"
"1056","0"
"1057","0"
"1058","0"
"1059","0"
"1060","0"
"1061","1"
"1062","1"
"1063","1"
"1064","1"
"1065","1"
"1066","0"
"1067","0"
"1068","1"
"1069","0"
"1070","0"
"1071","0"
"1072","0"
"1073","0"
"1074","0"
"1075","0"
"1076","0"
"1077","1"
"1078","1"
"1079","1"
"1080","1"
"1081","0"
"1082","1"
"1083","1"
"1084","1"
"1085","0"
"1086","1"
"1087","1"
"1088","0"
"1089","0"
"1090","0"
"1091","0"
"1092","1"
"1093","1"
"1094","1"
"1095","0"
"1096","0"
"1097","0"
"1098","0"
"1099","0"
"1100","1"
"1101","1"
"1102","0"
"1103","1"
"1104","0"
"1105","0"
"1106","0"
"1107","0"
"1108","0"
"1109","0"
"1110","1"
"1111","1"
"1112","0"
"1113","1"
"1114","1"
"1115","1"
"1116","1"
"1117","1"
"1118","0"
"1119","1"
"1120","0"
"1121","1"
"1122","0"
"1123","1"
"1124","1"
"1125","0"
"1126","1"
"1127","0"
"1128","0"
"1129","1"
"1130","1"
"1131","0"
"1132","0"
"1133","0"
"1134","0"
"1135","0"
"1136","0"
"1137","0"
"1138","0"
"1139","0"
"1140","1"
"1141","0"
"1142","1"
"1143","1"
"1144","0"
"1145","1"
"1146","1"
"1147","0"
"1148","0"
"1149","1"
"1150","0"
