"","V1"
"3599",0
"4027",0
"1238",1
"4210",0
"3190",0
"3005",0
"232",1
"1730",1
"2091",0
"2451",0
"3054",0
"4496",0
"2703",0
"1873",0
"2369",0
"256",1
"1140",1
"4446",0
"864",1
"3631",0
"668",1
"3505",0
"2385",0
"2888",0
"749",1
"2759",0
"1359",1
"3157",0
"1738",1
"4221",1
"4212",0
"3163",0
"1120",1
"965",1
"2580",0
"1164",1
"2309",0
"3413",0
"731",1
"1757",1
"2049",0
"3770",0
"4019",0
"3828",0
"2926",0
"4122",0
"2240",0
"2500",0
"1458",1
"1506",1
"87",1
"2179",0
"4451",0
"28",1
"312",1
"711",1
"3334",0
"3181",0
"4204",0
"2018",0
"322",1
"2805",0
"3278",0
"593",1
"1713",1
"972",1
"251",0
"1709",1
"281",1
"975",1
"236",0
"2891",0
"1284",1
"435",0
"310",1
"3793",0
"3249",0
"3517",0
"4229",0
"446",1
"427",1
"3437",0
"3375",0
"41",1
"3350",0
"3135",0
"2708",0
"2066",0
"4572",0
"36",1
"1943",0
"2113",0
"1672",1
"4532",0
"3060",0
"238",1
"1521",1
"3441",0
"3582",0
"1019",1
"1517",1
"4465",0
"3655",0
"4394",0
"630",1
"3012",0
"444",0
"145",0
"4273",0
"150",1
"1446",1
"3910",0
"2637",0
"1223",1
"3150",0
"3560",0
"1341",1
"4503",0
"2975",0
"4426",1
"2746",0
"4168",0
"1768",1
"509",1
"2241",0
"959",1
"2071",0
"1576",1
"4185",0
"1652",1
"4314",0
"2651",0
"581",1
"4112",0
"2189",0
"693",1
"2642",0
"4187",0
"2839",1
"1778",1
"1372",1
"3544",0
"610",1
"818",1
"3802",0
"1306",0
"1540",1
"3321",0
"819",1
"76",1
"1722",1
"2045",0
"1785",1
"1451",1
"3665",0
"1925",1
"2257",0
"4074",0
"3273",0
"883",1
"1305",1
"4102",0
"2469",0
"3211",0
"1573",1
"3245",0
"2268",0
"3854",0
"782",0
"1190",1
"401",1
"887",1
"4115",0
"1248",1
"3056",0
"3307",0
"4277",0
"1008",1
"1138",1
"425",1
"496",1
"4166",0
"4143",0
"576",1
"4239",0
"2420",0
"1660",1
"4519",0
"2964",0
"347",1
"1423",1
"2854",0
"1329",1
"3485",0
"902",1
"2086",1
"1156",1
"804",0
"3979",0
"1347",1
"2002",0
"118",1
"2289",0
"2693",0
"2492",0
"1346",1
"3723",0
"2616",1
"1265",1
"1621",1
"670",1
"4383",0
"3976",0
"2351",0
"1374",1
"4154",0
"979",1
"2553",0
"451",1
"2029",0
"414",1
"4403",0
"4432",0
"2429",0
"3044",0
"689",1
"3602",0
"2945",0
"3160",0
"611",1
"1488",1
"2796",0
"2175",0
"4563",0
"998",1
"242",1
"982",1
"3691",0
"3366",0
"3098",0
"642",1
"517",1
"4037",0
"1806",1
"1921",0
"685",1
"4198",0
"4351",1
"952",1
"2858",0
"1170",1
"3349",0
"388",1
"3395",0
"1765",1
"3121",0
"2734",0
"1835",0
"2587",1
"2",1
"896",1
"2906",1
"4353",0
"3354",1
"1268",1
"2833",0
"3840",0
"477",1
"526",1
"2791",0
"4129",0
"3432",0
"3994",0
"290",1
"1890",0
"2883",0
"358",1
"4078",0
"1039",1
"204",1
"2816",0
"3228",0
"4230",0
"4583",0
"1177",1
"328",1
"4500",0
"730",1
"2196",0
"2064",0
"4423",0
"1397",1
"1902",0
"338",1
"4306",0
"1618",1
"4469",0
"702",1
"1858",0
"3146",0
"4368",0
"3328",0
"1229",1
"4153",0
"1274",1
"153",1
"2116",0
"2768",0
"3681",0
"104",1
"4029",0
"1234",0
"3824",0
"2799",0
"1819",0
"3322",0
"161",1
"4378",0
"4410",0
"3371",0
"2176",0
"1116",1
"3253",0
"373",1
"3378",0
"1124",1
"4209",0
"3911",0
"331",1
"3464",0
"3252",0
"1561",0
"1328",1
"831",1
"2306",1
"3595",0
"2144",0
"2375",0
"4180",0
"2143",0
"2062",0
"66",1
"4584",0
"3755",0
"3108",0
"812",1
"4417",1
"2639",0
"1595",1
"3277",1
"2207",0
"3569",0
"4441",0
"3652",0
"2367",0
"1706",0
"4071",0
"2855",0
"1664",1
"74",1
"2280",0
"1972",0
"3534",0
"3268",0
"3433",0
"1479",0
"3511",0
"608",1
"1132",1
"2677",0
"3923",0
"2338",0
"4292",0
"244",1
"3885",0
"482",0
"355",1
"3529",0
"2037",0
"1352",1
"3581",0
"128",1
"4389",1
"4263",0
"904",0
"4079",0
"696",1
"3203",0
"585",1
"3286",0
"1322",1
"1494",1
"2514",0
"386",1
"88",1
"3961",0
"2329",0
"3117",0
"3555",0
"4087",0
"3901",0
"176",1
"3597",0
"3445",0
"4472",0
"1499",1
"168",1
"1449",1
"1089",1
"3380",0
"1440",1
"4411",0
"3015",0
"4120",0
"1818",0
"2896",0
"413",1
"873",1
"3783",0
"2982",0
"3246",0
"1656",1
"2353",0
"3164",0
"3518",0
"1525",1
"4107",0
"2476",0
"2949",0
"4090",0
"1188",1
"4160",0
"4265",0
"3623",0
"1879",0
"2239",0
"2908",0
"3384",0
"3587",0
"223",1
"1983",0
"4420",0
"3333",0
"3178",0
"463",1
"2807",0
"927",1
"296",1
"3682",0
"619",1
"2545",0
"683",0
"79",1
"4343",0
"339",1
"1112",1
"4488",0
"4049",0
"3167",0
"793",1
"1803",1
"1758",1
"2878",1
"2802",0
"3258",0
"3474",0
"3732",0
"2157",0
"4232",0
"669",1
"1876",0
"993",1
"156",1
"2483",0
"2110",0
"548",1
"1109",1
"2278",0
"645",1
"376",1
"1673",1
"1389",1
"3297",0
"1015",1
"91",1
"3362",0
"1304",1
"2462",1
"2129",0
"1466",1
"724",1
"1670",1
"2455",0
"2027",0
"2566",0
"2836",0
"1893",0
"3992",0
"27",1
"15",1
"3864",0
"419",1
"1625",1
"2786",0
"2881",0
"3382",0
"2357",0
"2932",0
"4435",0
"2374",0
"3073",0
"89",1
"1614",1
"3386",0
"2505",0
"3576",0
"666",1
"1221",1
"3109",1
"3822",0
"4538",0
"5",1
"3831",0
"573",1
"191",1
"2305",1
"1240",1
"2036",0
"3067",0
"266",1
"2678",0
"4281",0
"1070",1
"961",1
"614",1
"276",1
"2145",0
"1884",0
"1901",0
"3415",0
"142",1
"783",1
"1974",0
"908",1
"2210",0
"1851",0
"2185",0
"553",1
"559",1
"1581",1
"2618",0
"2504",0
"4464",1
"3115",0
"2588",0
"3092",0
"491",1
"960",1
"1269",1
"1558",1
"2430",0
"3091",0
"989",1
"3131",0
"60",1
"2499",0
"3099",0
"1761",1
"777",1
"72",1
"1080",1
"3490",0
"3559",0
"2068",0
"836",1
"1864",0
"3050",0
"1552",1
"395",1
"1068",1
"1375",1
"986",1
"1790",1
"4461",0
"461",1
"179",1
"4149",0
"3677",0
"1854",0
"1813",1
"2841",0
"2532",1
"188",1
"2635",0
"1377",0
"4299",1
"2937",0
"528",1
"1117",1
"478",1
"2232",0
"2125",0
"2605",0
"4099",0
"4181",0
"3745",0
"2808",0
"287",1
"1704",1
"203",1
"1282",1
"4471",0
"16",1
"2911",0
"1745",0
"2717",0
"2511",0
"2155",0
"2650",0
"2474",0
"3975",0
"366",1
"3620",0
"3772",0
"2304",0
"4165",0
"3810",0
"987",1
"3374",0
"35",0
"4121",0
"488",1
"1224",0
"2724",0
"3719",0
"2681",0
"4560",0
"1634",1
"3554",0
"450",1
"282",1
"3327",0
"1588",1
"159",1
"2421",0
"1752",0
"2310",0
"1012",1
"588",1
"4303",0
"1896",1
"2046",0
"525",1
"634",0
"2842",0
"1967",0
"3209",0
"2510",0
"49",1
"2582",0
"3320",0
"2352",0
"400",1
"3427",0
"2512",0
"3836",0
"2771",0
"3503",0
"1564",1
"1106",1
"4444",0
"828",1
"2100",0
"3777",0
"2484",0
"3890",0
"3009",0
"2814",0
"75",1
"1411",1
"189",1
"2954",0
"4531",0
"2008",0
"3153",0
"2159",0
"2471",0
"4109",0
"2819",0
"3338",0
"3031",0
"264",1
"3884",0
"4041",0
"3197",0
"4416",0
"1158",1
"3537",0
"4332",0
"1958",0
"1415",1
"3780",0
"2976",0
"155",0
"1339",1
"3151",1
"2567",0
"2517",0
"1279",1
"2038",0
"505",1
"4108",0
"3256",0
"4591",0
"2828",0
"2188",0
"3512",0
"582",1
"1928",0
"3200",0
"3186",0
"4333",1
"3573",0
"1795",1
"1424",1
"1528",1
"340",1
"592",1
"1482",1
"1249",1
"4283",0
"4390",0
"3917",0
"569",0
"3491",0
"4543",0
"1358",1
"3861",0
"3988",0
"224",1
"3886",0
"3806",0
"3838",0
"1637",1
"2269",0
"510",1
"3303",0
"4257",0
"1993",0
"4325",0
"3760",0
"4355",0
"2840",0
"3977",0
"4581",0
"978",1
"1026",1
"2333",0
"4302",0
"26",1
"3998",0
"1518",1
"1658",1
"2577",0
"3329",0
"3639",0
"3264",0
"2739",0
"499",1
"554",0
"692",1
"1565",1
"315",1
"808",1
"2065",0
"4507",0
"2040",0
"2992",0
"2315",0
"3704",0
"2557",0
"392",0
"4199",0
"2138",1
"577",1
"3071",0
"3807",0
"4525",0
"2782",0
"4555",0
"4313",0
"1583",1
"4197",1
"3751",0
"665",1
"1820",0
"69",1
"2775",0
"2007",0
"2300",0
"1679",1
"1001",1
"3927",0
"4245",1
"2096",0
"1413",1
"2902",0
"4367",0
"2079",0
"1628",1
"3850",0
"1984",0
"826",1
"1940",0
"1598",1
"4517",0
"2218",0
"1955",0
"533",1
"1995",0
"4287",0
"4035",0
"2968",0
"2562",0
"1627",1
"1855",0
"863",1
"270",1
"1392",1
"4459",0
"3083",0
"3526",0
"2518",0
"2935",0
"3166",0
"1914",0
"1970",0
"4434",0
"2337",0
"3557",0
"1022",0
"2536",0
"3761",0
"613",1
"1085",1
"1309",1
"275",1
"4571",0
"1948",0
"481",1
"3442",0
"1985",0
"2784",1
"2997",0
"3817",0
"2825",0
"2258",0
"3567",0
"957",1
"106",1
"1480",1
"1252",1
"3942",0
"606",1
"1125",1
"1455",1
"2671",0
"956",1
"407",1
"4226",0
"2835",0
"1687",1
"2831",0
"278",1
"405",1
"454",0
"2591",0
"2655",0
"3479",0
"4249",0
"3736",0
"701",1
"4322",0
"2548",0
"760",0
"2604",0
"3693",0
"3641",0
"2093",0
"4034",0
"4236",0
"2307",1
"253",1
"2884",0
"1674",1
"1365",1
"1044",1
"852",1
"1471",1
"4020",0
"922",1
"1980",0
"704",1
"4162",0
"2501",0
"1091",1
"4008",0
"202",1
"3236",0
"1975",0
"410",1
"4462",0
"3913",0
"2845",0
"2439",0
"1969",0
"4362",0
"2608",0
"3993",0
"3797",0
"1842",0
"899",1
"2879",0
"1403",0
"252",1
"3299",0
"751",1
"1402",1
"2162",0
"2171",1
"1134",1
"480",0
